binary,size,compiler,static,domain
gpgsm,510976,Unk,FALSE,Network
gpgsplit,72176,Unk,FALSE,Network
gpgtar,146688,Unk,FALSE,System
gpgv,449400,Unk,FALSE,System
grep,219456,Unk,FALSE,System
grepjar,96896,Unk,FALSE,System
groff,124288,gcc(3.X),FALSE,System
grops,186144,gcc(3.X),FALSE,System
grotty,136608,gcc(3.X),FALSE,System
grub-editenv,250840,Unk,FALSE,System
grub-file,803976,Unk,FALSE,System
grub-fstest,932680,Unk,FALSE,System
grub-glue-efi,250648,Unk,FALSE,System
grub-menulst2cfg,230216,Unk,FALSE,System
grub-mkfont,275928,Unk,FALSE,System
grub-mkimage,358328,Unk,FALSE,System
grub-mklayout,255064,Unk,FALSE,System
grub-mknetdir,408264,Unk,FALSE,Network
grub-mkpasswd-pbkdf2,255128,Unk,FALSE,System
grub-mkrelpath,246264,Unk,FALSE,System
grub-mkrescue,982488,Unk,FALSE,System
grub-mkstandalone,490520,Unk,FALSE,System
grub-mount,751384,Unk,FALSE,System
grub-render-label,820936,Unk,FALSE,System
grub-script-check,275064,Unk,FALSE,System
grub-syslinux2cfg,772312,Unk,FALSE,System
gvmap,574040,Unk,FALSE,System
gzip,101560,Unk,FALSE,System
halflife,63992,Unk,FALSE,Network
hashcat,989408,Unk,FALSE,System
hashdeep,244120,gcc(3.X),FALSE,System
hciattach,182384,Unk,FALSE,Network
hciconfig,237776,Unk,FALSE,System
hcidump,533176,Unk,FALSE,Network
hcitool,192240,Unk,FALSE,Network
heartbleeder,4251332,Unk,TRUE,Network
hexdump,55544,Unk,FALSE,System
hexeditor,84248,Unk,FALSE,System
host,105088,Unk,FALSE,Network
hotpatcher,51728,Unk,FALSE,Network
ht,2366800,gcc(GNU),TRUE,System
htop,490440,gcc(Alpine),FALSE,System
httptunnel-client,104752,gcc(-),TRUE,Network
httptunnel-server,104880,gcc(-),TRUE,Network
hydra,378912,Unk,FALSE,Network
ico,52072,Unk,FALSE,System
iconv,60424,Unk,FALSE,System
ike-scan,118984,Unk,FALSE,Network
infocmp,63720,Unk,FALSE,System
innochecksum,3731640,gcc(-),FALSE,System
install,159528,Unk,FALSE,System
iostat,67904,Unk,FALSE,System
ip,558200,Unk,FALSE,Network
ipcs,71912,Unk,FALSE,System
ivstools,55448,Unk,FALSE,System
join,56224,Unk,FALSE,System
journalctl,63576,Unk,FALSE,System
kbxutil,162504,Unk,FALSE,System
kismetdb_clean,179064,gcc(3.X),FALSE,System
kismetdb_dump_devices,445512,gcc(3.X),FALSE,Network
kismetdb_statistics,465856,gcc(3.X),FALSE,Network
kismetdb_to_gpx,478272,gcc(3.X),FALSE,System
kismetdb_to_kml,490592,gcc(3.X),FALSE,System
kismetdb_to_pcap,503088,gcc(3.X),FALSE,System
kismetdb_to_wiglecsv,478304,gcc(3.X),FALSE,System
kismet_cap_kismetdb,146296,Unk,FALSE,Network
kismet_cap_linux_bluetooth,158424,Unk,FALSE,Network
kismet_cap_linux_wifi,215480,Unk,FALSE,Network
kismet_cap_nrf_51822,142040,Unk,FALSE,Network
kismet_cap_nrf_52840,146136,Unk,FALSE,Network
kismet_cap_nrf_mousejack,146136,Unk,FALSE,Network
kismet_cap_nxp_kw41z,146136,Unk,FALSE,Network
kismet_cap_pcapfile,142200,Unk,FALSE,Network
kismet_cap_rz_killerbee,146136,Unk,FALSE,Network
kismet_cap_ti_cc_2531,146136,Unk,FALSE,Network
kismet_cap_ti_cc_2540,146136,Unk,FALSE,Network
kismet_cap_ubertooth_one,146136,Unk,FALSE,Network
kmod,149688,Unk,FALSE,System
l2ping,143400,Unk,FALSE,Network
l2test,156016,Unk,FALSE,Network
ld,1997432,gcc(GNU),TRUE,System
ldapcompare,63648,Unk,FALSE,Network
ldapdelete,67776,Unk,FALSE,Network
ldapexop,63648,Unk,FALSE,Network
ldapmodify,75936,Unk,FALSE,Network
ldapmodrdn,63648,Unk,FALSE,Network
ldappasswd,63648,Unk,FALSE,Network
ldapsearch,92352,Unk,FALSE,Network
ldapwhoami,63648,Unk,FALSE,Network
ldrdf,109160,Unk,FALSE,System
lefty,298320,Unk,FALSE,System
less,170760,Unk,FALSE,System
lexgrog,101344,Unk,FALSE,System
light-locker,109176,Unk,FALSE,System
line_send_tcp,72192,Unk,FALSE,Network
ln,67808,Unk,FALSE,System
loadkeys,211528,Unk,FALSE,System
locale,55336,Unk,FALSE,System
localedef,315136,Unk,FALSE,System
logger,52040,Unk,FALSE,System
login,52664,Unk,FALSE,System
logtop,220984,gcc(Alpine),FALSE,System
lowntfs-3g,109232,Unk,FALSE,System
ls,133792,Unk,FALSE,System
lsblk,84048,Unk,FALSE,System
lsciphers,1718744,Unk,TRUE,System
lscpu,100584,Unk,FALSE,System
lsipc,96488,Unk,FALSE,System
lslogins,67816,Unk,FALSE,System
lsmem,67816,Unk,FALSE,System
lsns,51440,Unk,FALSE,System
lsof,171488,Unk,FALSE,System
lspci,94152,Unk,FALSE,System
lstopo,132000,Unk,FALSE,System
lstopo-no-graphics,119008,Unk,FALSE,System
