"filename","version","findings_count"
"cjpeg","version_0.4",27
"cjpeg","version_0.5",3
"cjpeg","version_0.6",5
"closed_source_web_server_fuzz","version_0.4",358
"closed_source_web_server_fuzz","version_0.5",125
"closed_source_web_server_fuzz","version_0.6",128
"cluster","version_0.4",477
"cluster","version_0.5",0
"cluster","version_0.6",0
"colormgr","version_0.4",0
"colormgr","version_0.5",0
"colormgr","version_0.6",0
"column","version_0.4",62
"column","version_0.5",50
"column","version_0.6",56
"corkscrew","version_0.4",414
"corkscrew","version_0.5",15
"corkscrew","version_0.6",13
"cp","version_0.4",704
"cp","version_0.5",101
"cp","version_0.6",141
"cpio","version_0.4",413
"cpio","version_0.5",151
"cpio","version_0.6",167
"crunch","version_0.4",163
"crunch","version_0.5",111
"crunch","version_0.6",169
"csplit","version_0.4",478
"csplit","version_0.5",131
"csplit","version_0.6",140
"curl","version_0.4",328
"curl","version_0.5",63
"curl","version_0.6",93
"curlftpfs","version_0.4",32
"curlftpfs","version_0.5",30
"curlftpfs","version_0.6",28
"cutycapt","version_0.4",28
"cutycapt","version_0.5",2
"cutycapt","version_0.6",2
"cvtsudoers","version_0.4",451
"cvtsudoers","version_0.5",176
"cvtsudoers","version_0.6",134
"dash","version_0.4",131
"dash","version_0.5",53
"dash","version_0.6",63
"date","version_0.4",99
"date","version_0.5",72
"date","version_0.6",77
"dbd","version_0.4",117
"dbd","version_0.5",33
"dbd","version_0.6",33
"dbus.daemon","version_0.4",442
"dbus.daemon","version_0.5",20
"dbus.daemon","version_0.6",58
"dceoversmb","version_0.4",366
"dceoversmb","version_0.5",132
"dceoversmb","version_0.6",131
"dd","version_0.4",97
"dd","version_0.5",63
"dd","version_0.6",64
"desktop.file.install","version_0.4",83
"desktop.file.install","version_0.5",0
"desktop.file.install","version_0.6",0
"desktop.file.validate","version_0.4",82
"desktop.file.validate","version_0.5",0
"desktop.file.validate","version_0.6",0
"df","version_0.4",172
"df","version_0.5",71
"df","version_0.6",85
"diff","version_0.4",889
"diff","version_0.5",230
"diff","version_0.6",254
"diff3","version_0.4",105
"diff3","version_0.5",53
"diff3","version_0.6",55
"dig","version_0.4",405
"dig","version_0.5",174
"dig","version_0.6",135
"dir","version_0.4",234
"dir","version_0.5",158
"dir","version_0.6",123
"dirb","version_0.4",73
"dirb","version_0.5",81
"dirb","version_0.6",84
"dirmngr","version_0.4",981
"dirmngr","version_0.5",527
"dirmngr","version_0.6",531
"dirmngr.client","version_0.4",137
"dirmngr.client","version_0.5",93
"dirmngr.client","version_0.6",92
"dmesg","version_0.4",28
"dmesg","version_0.5",28
"dmesg","version_0.6",28
"dns2tcpc","version_0.4",84
"dns2tcpc","version_0.5",32
"dns2tcpc","version_0.6",33
"dns2tcpd","version_0.4",110
"dns2tcpd","version_0.5",40
"dns2tcpd","version_0.6",47
"dos2unix","version_0.4",88
"dos2unix","version_0.5",5
"dos2unix","version_0.6",7
"do_post","version_0.4",350
"do_post","version_0.5",128
"do_post","version_0.6",129
"dpkg","version_0.4",601
"dpkg","version_0.5",178
"dpkg","version_0.6",187
"dpkg.deb","version_0.4",211
"dpkg.deb","version_0.5",95
"dpkg.deb","version_0.6",92
"dpkg.divert","version_0.4",251
"dpkg.divert","version_0.5",92
"dpkg.divert","version_0.6",93
"dpkg.query","version_0.4",275
"dpkg.query","version_0.5",109
"dpkg.query","version_0.6",108
"dpkg.split","version_0.4",219
"dpkg.split","version_0.5",82
"dpkg.split","version_0.6",80
"dpkg.statoverride","version_0.4",63
"dpkg.statoverride","version_0.5",29
"dpkg.statoverride","version_0.6",30
"dpkg.trigger","version_0.4",78
"dpkg.trigger","version_0.5",33
"dpkg.trigger","version_0.6",30
"du","version_0.4",683
"du","version_0.5",166
"du","version_0.6",185
"dumpcap","version_0.4",196
"dumpcap","version_0.5",33
"dumpcap","version_0.6",35
"dumpkeys","version_0.4",87
"dumpkeys","version_0.5",31
"dumpkeys","version_0.6",33
"ed","version_0.4",48
"ed","version_0.5",47
"ed","version_0.6",62
"edgepaint","version_0.4",413
"edgepaint","version_0.5",324
