"","version_0.4","version_0.5","version_0.6","filename"
"xfsettingsd",185,1,1,"xfsettingsd"
"xfwm4",1520,0,0,"xfwm4"
"xfwm4-settings",8,0,0,"xfwm4-settings"
"xfwm4-workspace-settings",1,1,1,"xfwm4-workspace-settings"
"xgc",0,0,0,"xgc"
"xhydra",5,23,4,"xhydra"
"xkbcomp",671,97,103,"xkbcomp"
"xkbprint",16,9,9,"xkbprint"
"xman",96,34,43,"xman"
"xmllint",13,13,14,"xmllint"
"xprop",13,23,22,"xprop"
"xrandr",472,0,0,"xrandr"
"xsm",128,89,140,"xsm"
"Xtightvnc",0,0,0,"Xtightvnc"
"xtightvncviewer",65,47,57,"xtightvncviewer"
"Xvfb",0,0,0,"Xvfb"
"xwininfo",86,12,10,"xwininfo"
"xz",71,72,17,"xz"
"yasm",1005,0,0,"yasm"
"ytasm",1002,0,0,"ytasm"
"zenity",0,0,0,"zenity"
"zip",370,344,343,"zip"
"zipcloak",232,261,237,"zipcloak"
"zipinfo",163,97,112,"zipinfo"
"zipnote",227,246,249,"zipnote"
"zipsplit",219,236,235,"zipsplit"
"zsh",0,0,0,"zsh"
"[",103,30,33,"["
